"Percentile","men_treatment","women_treatment"
0,0,0
0.05,0.102115189454007,0.0502736203971143
0.1,0.10031719423378,0.0635044701036916
0.15,0.0991289573022617,0.0579832453996191
0.2,0.0950318384573093,0.0637017470709862
0.25,0.0976062144205905,0.0629224735857353
0.3,0.0905846222262928,0.0635464634719434
0.35,0.0864511506790444,0.0623692448056719
0.4,0.0821381619749459,0.0635043864939944
0.45,0.0814448738549328,0.0626031387649738
0.5,0.0789555850160832,0.0614745032656503
0.55,0.0766490657211727,0.0602843865890334
0.6,0.076187347753834,0.058215527638576
0.65,0.0757437611548332,0.0554886640756602
0.7,0.0765555023073951,0.0513247979924796
0.75,0.0770427629703513,0.0505308474957934
0.8,0.0765496561729415,0.0489663261954113
0.85,0.0759749926926439,0.0483168769857325
0.9,0.0755094401517025,0.0461357220553399
0.95,0.0756920723796377,0.0456199986364552
1,0.0765793930388524,0.0452007227693983
